data,produto,segmento,saldo_inicial,taxa_contratual,taxa_mercado,incentivo_refinanciamento,tam_realizada,principal_antecipado
2019-01-31,Credito_Pessoal,PF_A,129048898.760638,0.22,0.0924961687990007,0.1275038312009992,0.017880972151905,2307519.764972982
2019-02-28,Credito_Pessoal,PF_A,128307015.96121097,0.22,0.1001758067026001,0.1198241932973998,0.0129660848650955,1663639.6577402337
2019-03-31,Credito_Pessoal,PF_A,128122139.95396374,0.22,0.0954851185884015,0.1245148814115985,0.0173341317925727,2220886.0595084555
2019-04-30,Credito_Pessoal,PF_A,128717224.35737395,0.22,0.0868655878810023,0.1331344121189976,0.0151286605975345,1947319.200359424
2019-05-31,Credito_Pessoal,PF_A,128710741.2399565,0.22,0.0867052634621955,0.1332947365378045,0.0186855458420055,2405030.455797717
2019-06-30,Credito_Pessoal,PF_A,126638823.64607345,0.22,0.0872792912898914,0.1327207087101086,0.0185477079424537,2348859.9151632776
2019-07-31,Credito_Pessoal,PF_A,125462248.33036564,0.22,0.0909218954516554,0.1290781045483445,0.015574675006543,1954033.7433356384
2019-08-31,Credito_Pessoal,PF_A,125680892.79175752,0.22,0.1046136604909653,0.1153863395090346,0.0159025955416328,1998652.4053786348
2019-09-30,Credito_Pessoal,PF_A,126067887.45300436,0.22,0.1246573174034435,0.0953426825965564,0.0057773347264684,728336.3840747563
2019-10-31,Credito_Pessoal,PF_A,126790205.5959204,0.22,0.1253185137590496,0.0946814862409503,0.0122943511902713,1558803.3150829526
2019-11-30,Credito_Pessoal,PF_A,127094916.3605536,0.22,0.1216298544136267,0.0983701455863732,0.0140962355595743,1791559.8794427596
2019-12-31,Credito_Pessoal,PF_A,127855913.07007962,0.22,0.1096420237908731,0.1103579762091268,0.0161426079136218,2063927.8741284087
2020-01-31,Credito_Pessoal,PF_A,127641992.73616308,0.22,0.1128400097898549,0.107159990210145,0.0108137568848075,1380289.4777412326
2020-02-29,Credito_Pessoal,PF_A,127942866.38422348,0.22,0.0989146215945571,0.1210853784054428,0.0180380938822428,2307845.435401874
2020-03-31,Credito_Pessoal,PF_A,126871707.87203626,0.22,0.0961031752114358,0.1238968247885642,0.0190119963126177,2412084.4422386754
2020-04-30,Credito_Pessoal,PF_A,127095498.7378847,0.22,0.0988610561923262,0.1211389438076737,0.0173175548767689,2200983.2739836327
2020-05-31,Credito_Pessoal,PF_A,124749869.5574824,0.22,0.0743415384438752,0.1456584615561247,0.0145442867865879,1814397.8794334647
2020-06-30,Credito_Pessoal,PF_A,126255804.08903818,0.22,0.0610853261229509,0.158914673877049,0.016168535950052,2041371.5073163365
2020-07-31,Credito_Pessoal,PF_A,124825532.32553154,0.22,0.0789376216979505,0.1410623783020494,0.0185518611688986,2315745.946037132
2020-08-31,Credito_Pessoal,PF_A,124519135.293575,0.22,0.0889962114228459,0.1310037885771541,0.0168905277294546,2103193.907523848
2020-09-30,Credito_Pessoal,PF_A,124609812.45870472,0.22,0.0908618786753766,0.1291381213246234,0.0148946851200078,1856023.919435635
2020-10-31,Credito_Pessoal,PF_A,125007895.01266924,0.22,0.0791643026828557,0.1408356973171442,0.0164618118112622,2057856.442620593
2020-11-30,Credito_Pessoal,PF_A,126544239.88403793,0.22,0.0712538475945344,0.1487461524054656,0.0183522849842259,2322375.95346411
2020-12-31,Credito_Pessoal,PF_A,125115626.40808192,0.22,0.0646240519261123,0.1553759480738876,0.0184392106726305,2307033.393776757
2021-01-31,Credito_Pessoal,PF_A,125607629.55197744,0.22,0.0784904689484636,0.1415095310515363,0.0204973238794325,2574620.264654664
2021-02-28,Credito_Pessoal,PF_A,124734385.7991814,0.22,0.0774957360742573,0.1425042639257426,0.0211946677560837,2643703.864772822
2021-03-31,Credito_Pessoal,PF_A,124740101.6140944,0.22,0.080496116512525,0.1395038834874749,0.0248015266016728,3093744.9484773334
2021-04-30,Credito_Pessoal,PF_A,123121355.45024312,0.22,0.0944614789012068,0.1255385210987932,0.0159958606324954,1969432.0426660175
2021-05-31,Credito_Pessoal,PF_A,122937640.07365511,0.22,0.0915950051152424,0.1284049948847575,0.0154787443179885,1902920.2977570065
2021-06-30,Credito_Pessoal,PF_A,122411705.2510636,0.22,0.0878450086562747,0.1321549913437252,0.0090226107164391,1104473.163615838
2021-07-31,Credito_Pessoal,PF_A,123002942.45584156,0.22,0.078356620905947,0.1416433790940529,0.0164219978948929,2019954.0620754675
2021-08-31,Credito_Pessoal,PF_A,122637733.10191196,0.22,0.075494521880862,0.1445054781191379,0.0197767308384021,2425373.438188317
2021-09-30,Credito_Pessoal,PF_A,122221722.73262475,0.22,0.0927868550490765,0.1272131449509235,0.0168603613350157,2060702.4082601615
2021-10-31,Credito_Pessoal,PF_A,122344014.61327556,0.22,0.1001910447448414,0.1198089552551585,0.0155225047824737,1899085.5519416125
2021-11-30,Credito_Pessoal,PF_A,122640398.14908744,0.22,0.1129682160963888,0.1070317839036112,0.0168438686139755,2065738.7531888825
2021-12-31,Credito_Pessoal,PF_A,122613816.94099124,0.22,0.1242698551561028,0.0957301448438971,0.0149841104608557,1837258.9770709649
2022-01-31,Credito_Pessoal,PF_A,123032991.01747532,0.22,0.1417205588133503,0.0782794411866496,0.0129760528258806,1596482.590768863
2022-02-28,Credito_Pessoal,PF_A,123719996.04995374,0.22,0.1323462878011676,0.0876537121988323,0.020577239154993,2545815.9469746905
2022-03-31,Credito_Pessoal,PF_A,122984902.24351224,0.22,0.13633677105586,0.08366322894414,0.0160684559687815,1976177.4865247763
2022-04-30,Credito_Pessoal,PF_A,123889170.02259608,0.22,0.1438972694672427,0.0761027305327572,0.017148847841895,2124556.525976161
2022-05-31,Credito_Pessoal,PF_A,123772814.98902346,0.22,0.1541886637996614,0.0658113362003386,0.0069902084146269,865197.7728383316
2022-06-30,Credito_Pessoal,PF_A,125269309.18923908,0.22,0.1399994034372261,0.0800005965627738,0.0072513501472088,908371.6236301336
2022-07-31,Credito_Pessoal,PF_A,127389893.6272678,0.22,0.1379858995795868,0.0820141004204132,0.0123445307032079,1572568.4531602014
2022-08-31,Credito_Pessoal,PF_A,128517096.988018,0.22,0.1372851417505953,0.0827148582494046,0.0089755628419427,1153513.28028001
2022-09-30,Credito_Pessoal,PF_A,128276828.47642794,0.22,0.1502787596413933,0.0697212403586066,0.0108351603818693,1389900.009819638
2022-10-31,Credito_Pessoal,PF_A,128863406.058639,0.22,0.1544238274525529,0.0655761725474471,0.008973667479885,1156377.3562956292
2022-11-30,Credito_Pessoal,PF_A,129766291.59885632,0.22,0.1421471549925718,0.0778528450074281,0.0185897604305263,2412324.272780561
2022-12-31,Credito_Pessoal,PF_A,129938135.20923407,0.22,0.1185963158209373,0.1014036841790626,0.016707967565402,2171002.1485847104
2023-01-31,Credito_Pessoal,PF_A,130357888.88473672,0.22,0.1073196719730987,0.1126803280269012,0.0194594750412445,2536696.0851818663
2023-02-28,Credito_Pessoal,PF_A,129688142.62852436,0.22,0.0984459555304342,0.1215540444695657,0.0118883902065545,1541783.2447312032
2023-03-31,Credito_Pessoal,PF_A,130014349.09068894,0.22,0.0901472476762142,0.1298527523237858,0.0198205044144184,2576949.9800897352
2023-04-30,Credito_Pessoal,PF_A,128758538.83401863,0.22,0.0882742986574577,0.1317257013425422,0.017194678011898,2213961.6165334266
