data_coorte,segmento,dia,saldo_inicial,percentual_sobrevivencia,saldo_remanescente
2020-03-31,Varejo_Estavel,0,70275977.12923443,0.9830377921161682,69083941.39592895
2020-03-31,Varejo_Estavel,21,70275977.12923443,0.9558796761196232,67175378.25728266
2020-03-31,Varejo_Estavel,42,70275977.12923443,0.9554945384208414,67148312.32917146
2020-03-31,Varejo_Estavel,63,70275977.12923443,0.9601679248039996,67476739.12375036
2020-03-31,Varejo_Estavel,84,70275977.12923443,0.9181725141758208,64525470.60691165
2020-03-31,Varejo_Estavel,105,70275977.12923443,0.9058987194308996,63662917.68812866
2020-03-31,Varejo_Estavel,126,70275977.12923443,0.929009938171956,65287081.16780387
2020-03-31,Varejo_Estavel,147,70275977.12923443,0.8853215584622032,62216837.59450798
2020-03-31,Varejo_Estavel,168,70275977.12923443,0.8824860043311917,62017566.25724831
2020-03-31,Varejo_Estavel,189,70275977.12923443,0.8722450370658711,61297872.2759294
2020-03-31,Varejo_Estavel,210,70275977.12923443,0.8586174745082311,60340182.00130148
2020-03-31,Varejo_Estavel,231,70275977.12923443,0.8187518421711539,57538585.73493858
2020-03-31,Varejo_Estavel,252,70275977.12923443,0.8208183011087792,57683808.15597763
2020-03-31,Varejo_Estavel,273,70275977.12923443,0.7909591339757224,55585426.00943694
2020-03-31,Varejo_Estavel,294,70275977.12923443,0.8267325027001208,58099434.45174843
2020-03-31,Varejo_Estavel,315,70275977.12923443,0.7654455947285635,53792437.10881778
2020-03-31,Varejo_Estavel,336,70275977.12923443,0.75942266073573,53369169.53728652
2020-03-31,Varejo_Estavel,357,70275977.12923443,0.7471241218597016,52504877.70051175
2020-03-31,Varejo_Estavel,378,70275977.12923443,0.7294646985967947,51263844.47517224
2020-03-31,Varejo_Estavel,399,70275977.12923443,0.7516645590100535,52823961.3578466
2020-03-31,Varejo_Estavel,420,70275977.12923443,0.7527039935331911,52897008.63462196
2020-03-31,Varejo_Estavel,441,70275977.12923443,0.7063161083667846,49637054.67759402
2020-03-31,Varejo_Estavel,462,70275977.12923443,0.6847567546815007,48121950.03108593
2020-03-31,Varejo_Estavel,483,70275977.12923443,0.6625187285081765,46559151.012330085
2020-03-31,Varejo_Estavel,504,70275977.12923443,0.6753728591015706,47462487.59992765
2020-03-31,Varejo_Estavel,525,70275977.12923443,0.6636235420070798,46636792.86051109
2020-03-31,Varejo_Estavel,546,70275977.12923443,0.64889672442288,45601851.36477745
2020-03-31,Varejo_Estavel,567,70275977.12923443,0.6488329183664608,45597367.33181583
2020-03-31,Varejo_Estavel,588,70275977.12923443,0.6405516609066874,45015393.87197149
2020-03-31,Varejo_Estavel,609,70275977.12923443,0.6294860688421298,44237748.577121206
2020-03-31,Varejo_Estavel,630,70275977.12923443,0.6117787082088363,42993346.50623676
2020-03-31,Varejo_Estavel,651,70275977.12923443,0.5924769065151448,41636893.531857885
2020-03-31,Varejo_Estavel,672,70275977.12923443,0.6039689689354734,42444509.44767663
2020-03-31,Varejo_Estavel,693,70275977.12923443,0.5865676397289977,41221614.03434407
2020-03-31,Varejo_Estavel,714,70275977.12923443,0.5876696661797939,41299060.01999603
2020-03-31,Varejo_Estavel,735,70275977.12923443,0.5772331211291054,40565621.61870562
2020-03-31,Varejo_Estavel,756,70275977.12923443,0.5415824242075447,38060234.057204746
2020-03-31,Varejo_Estavel,777,70275977.12923443,0.5324703902031076,37419876.96390812
2020-03-31,Varejo_Estavel,798,70275977.12923443,0.531795844415166,37372472.59954212
2020-03-31,Varejo_Estavel,819,70275977.12923443,0.5195099063271919,36509066.295460455
2020-03-31,Varejo_Estavel,840,70275977.12923443,0.5327100827220266,37436721.58988572
2020-03-31,Varejo_Estavel,861,70275977.12923443,0.5194617262765038,36505680.39532021
2020-03-31,Varejo_Estavel,882,70275977.12923443,0.5201699478204383,36555451.35634419
2020-03-31,Varejo_Estavel,903,70275977.12923443,0.5036039300724428,35391258.27196357
2020-03-31,Varejo_Estavel,924,70275977.12923443,0.4933467226058577,34670422.99463202
2020-03-31,Varejo_Estavel,945,70275977.12923443,0.4973649218265528,34952805.8711663
2020-03-31,Varejo_Estavel,966,70275977.12923443,0.4808564669322216,33792658.07257328
