data,grupo_emissor,prazo_anos,spread
2019-01-02,Bancos_S1,0.5,0.0130082778976912
2019-01-02,Bancos_S1,1.0,0.0133679204802915
2019-01-02,Bancos_S1,2.0,0.0138748082310349
2019-01-02,Bancos_S1,3.0,0.0142344508136351
2019-01-02,Bancos_S1,4.0,0.0145134112730106
2019-01-03,Bancos_S1,0.5,0.0130119865673409
2019-01-03,Bancos_S1,1.0,0.0133717316843074
2019-01-03,Bancos_S1,2.0,0.0138787639491235
2019-01-03,Bancos_S1,3.0,0.01423850906609
2019-01-03,Bancos_S1,4.0,0.0145175490572987
2019-01-04,Bancos_S1,0.5,0.0125572654156982
2019-01-04,Bancos_S1,1.0,0.0129044387617796
2019-01-04,Bancos_S1,2.0,0.0133937521107189
2019-01-04,Bancos_S1,3.0,0.0137409254568003
2019-01-04,Bancos_S1,4.0,0.0140102140249269
2019-01-07,Bancos_S1,0.5,0.0125132135984488
2019-01-07,Bancos_S1,1.0,0.0128591690347155
2019-01-07,Bancos_S1,2.0,0.0133467658361811
2019-01-07,Bancos_S1,3.0,0.0136927212724478
2019-01-07,Bancos_S1,4.0,0.0139610651563301
2019-01-08,Bancos_S1,0.5,0.012513977965602
2019-01-08,Bancos_S1,1.0,0.0128599545344874
2019-01-08,Bancos_S1,2.0,0.0133475811207063
2019-01-08,Bancos_S1,3.0,0.0136935576895917
2019-01-08,Bancos_S1,4.0,0.0139619179652065
2019-01-09,Bancos_S1,0.5,0.0121282022929004
2019-01-09,Bancos_S1,1.0,0.0124635132409922
2019-01-09,Bancos_S1,2.0,0.0129361074789967
2019-01-09,Bancos_S1,3.0,0.0132714184270885
2019-01-09,Bancos_S1,4.0,0.0135315058044981
2019-01-10,Bancos_S1,0.5,0.0122436849815366
2019-01-10,Bancos_S1,1.0,0.0125821887036999
2019-01-10,Bancos_S1,2.0,0.0130592829040171
2019-01-10,Bancos_S1,3.0,0.0133977866261804
2019-01-10,Bancos_S1,4.0,0.0136603505115587
2019-01-11,Bancos_S1,0.5,0.0125937251248685
2019-01-11,Bancos_S1,1.0,0.012941906480163
2019-01-11,Bancos_S1,2.0,0.0134326405382937
2019-01-11,Bancos_S1,3.0,0.0137808218935882
2019-01-11,Bancos_S1,4.0,0.0140508923344038
2019-01-14,Bancos_S1,0.5,0.0126799398907028
2019-01-14,Bancos_S1,1.0,0.0130305048436792
2019-01-14,Bancos_S1,2.0,0.0135245983940562
