data,prazo_anos,taxa_pre
2010-01-31,0.25,0.1155098483847058
2010-01-31,0.5,0.1158522945663867
2010-01-31,1.0,0.1162537437335137
2010-01-31,2.0,0.1165583680404668
2010-01-31,5.0,0.1168238453147421
2010-01-31,7.0,0.1171349471429036
2010-01-31,10.0,0.1178103263502308
2010-01-31,15.0,0.119098121069759
2010-01-31,20.0,0.1202899916586079
2010-02-28,0.25,0.1146073624190251
2010-02-28,0.5,0.1150910239337703
2010-02-28,1.0,0.1157497547234741
2010-02-28,2.0,0.1164818003945758
2010-02-28,5.0,0.1175412974802746
2010-02-28,7.0,0.1181320971121329
2010-02-28,10.0,0.119034966804235
2010-02-28,15.0,0.1204680734013216
2010-02-28,20.0,0.1217015765401318
2010-03-31,0.25,0.1097146565483835
2010-03-31,0.5,0.1100855377233882
2010-03-31,1.0,0.1105387928882176
2010-03-31,2.0,0.110929482379257
2010-03-31,5.0,0.1113548427734938
2010-03-31,7.0,0.1117222643015646
2010-03-31,10.0,0.1124434507896977
2010-03-31,15.0,0.1137605053790897
2010-03-31,20.0,0.1149607590610101
2010-04-30,0.25,0.1145384119779348
2010-04-30,0.5,0.1148914212820585
2010-04-30,1.0,0.1153121155072297
2010-04-30,2.0,0.115648711584572
2010-04-30,5.0,0.1159735827526127
2010-04-30,7.0,0.1163056064033788
2010-04-30,10.0,0.1169980022461739
2010-04-30,15.0,0.1182966665159254
2010-04-30,20.0,0.119491651283053
2010-05-31,0.25,0.117049136144032
2010-05-31,0.5,0.1175715726570175
2010-05-31,1.0,0.1183009480024234
2010-05-31,2.0,0.1191503553104173
2010-05-31,5.0,0.1204278748737222
2010-05-31,7.0,0.1210954741109123
2010-05-31,10.0,0.1220608082886719
2010-05-31,15.0,0.1235338147158573
2010-05-31,20.0,0.1247787493473847
2010-06-30,0.25,0.1031157566831193
2010-06-30,0.5,0.1037270356439152
2010-06-30,1.0,0.1046182739303373
2010-06-30,2.0,0.1057365837676349
2010-06-30,5.0,0.1075136430206189
2010-06-30,7.0,0.1083572078345522
2010-06-30,10.0,0.1094656625296269
2010-06-30,15.0,0.1110300886533714
2010-06-30,20.0,0.1123012154664905
2010-07-31,0.25,0.0896293069197391
2010-07-31,0.5,0.0905986503645199
2010-07-31,1.0,0.0921422499025692
2010-07-31,2.0,0.0943443259774067
2010-07-31,5.0,0.0981346955974863
2010-07-31,7.0,0.0996874599549766
2010-07-31,10.0,0.1013727377277925
2010-07-31,15.0,0.1033056155014097
2010-07-31,20.0,0.1046823054796284
2010-08-31,0.25,0.0904869938367795
2010-08-31,0.5,0.0915019006723362
2010-08-31,1.0,0.0931285126060973
2010-08-31,2.0,0.0954684969818117
2010-08-31,5.0,0.0995150585759964
2010-08-31,7.0,0.1011580679518742
2010-08-31,10.0,0.1029167459541884
2010-08-31,15.0,0.1048965088763081
2010-08-31,20.0,0.1062866316744744
2010-09-30,0.25,0.088558192708007
2010-09-30,0.5,0.0896182516980829
2010-09-30,1.0,0.0913271267921219
2010-09-30,2.0,0.0938037747656205
2010-09-30,5.0,0.0981042160514704
2010-09-30,7.0,0.0998366559316509
2010-09-30,10.0,0.1016680716834524
2010-09-30,15.0,0.1036942965881816
2010-09-30,20.0,0.105097730967237
2010-10-31,0.25,0.0905059167376587
2010-10-31,0.5,0.0914908511722655
2010-10-31,1.0,0.0930628560900493
2010-10-31,2.0,0.0953121219564998
2010-10-31,5.0,0.0991901559578681
2010-10-31,7.0,0.100773800571186
2010-10-31,10.0,0.1024841946097549
2010-10-31,15.0,0.1044331156554123
2010-10-31,20.0,0.1058144021080279
2010-11-30,0.25,0.0842344296931725
2010-11-30,0.5,0.0853347935020468
2010-11-30,1.0,0.0871171003471082
2010-11-30,2.0,0.089715740318634
2010-11-30,5.0,0.0942428058946891
2010-11-30,7.0,0.0960550754155446
2010-11-30,10.0,0.0979514201135749
