data,prazo_anos,taxa_cupom
2010-01-31,0.25,0.1219253353323693
2010-01-31,0.5,0.1218175042319249
2010-01-31,1.0,0.1197379171177503
2010-01-31,2.0,0.1189909090675834
2010-01-31,5.0,0.1187025334141042
2010-01-31,7.0,0.1171210325668957
2010-01-31,10.0,0.1183318731835308
2010-01-31,15.0,0.1187026123911149
2010-01-31,20.0,0.1195411247061611
2010-02-28,0.25,0.118795344273828
2010-02-28,0.5,0.1181229951814183
2010-02-28,1.0,0.1175200364508114
2010-02-28,2.0,0.117892281656647
2010-02-28,5.0,0.1181920532257122
2010-02-28,7.0,0.1185601580930199
2010-02-28,10.0,0.120839842269384
2010-02-28,15.0,0.1209780496969665
2010-02-28,20.0,0.1199319101254457
2010-03-31,0.25,0.1148475002099067
2010-03-31,0.5,0.1140635003766031
2010-03-31,1.0,0.1137399702939159
2010-03-31,2.0,0.1133821314512522
2010-03-31,5.0,0.1128678756404631
2010-03-31,7.0,0.1121134717646634
2010-03-31,10.0,0.1135496225510906
2010-03-31,15.0,0.1124721363978948
2010-03-31,20.0,0.1139658367892871
2010-04-30,0.25,0.1214712278587739
2010-04-30,0.5,0.1193735103184539
2010-04-30,1.0,0.119887355588645
2010-04-30,2.0,0.1180263162795735
2010-04-30,5.0,0.1174559004022655
2010-04-30,7.0,0.1169227940980706
2010-04-30,10.0,0.1171167667164479
2010-04-30,15.0,0.1172982621982641
2010-04-30,20.0,0.1188358988486062
2010-05-31,0.25,0.1212225832922459
2010-05-31,0.5,0.1224076660883634
2010-05-31,1.0,0.1225978460821105
2010-05-31,2.0,0.12174796898867
2010-05-31,5.0,0.1212165718602666
2010-05-31,7.0,0.1221212608245652
2010-05-31,10.0,0.1220689603794401
2010-05-31,15.0,0.1239074340159485
2010-05-31,20.0,0.1223136309583998
2010-06-30,0.25,0.1077019476881868
2010-06-30,0.5,0.1064380112901112
2010-06-30,1.0,0.1068508937422859
2010-06-30,2.0,0.109132062103949
2010-06-30,5.0,0.1092474869795853
2010-06-30,7.0,0.1084442378981304
2010-06-30,10.0,0.1085187502999995
2010-06-30,15.0,0.1082836471828171
2010-06-30,20.0,0.1108664255385316
2010-07-31,0.25,0.0964203158290995
2010-07-31,0.5,0.095250183023986
2010-07-31,1.0,0.09512326054986
2010-07-31,2.0,0.0970207786974699
2010-07-31,5.0,0.0979036248884798
2010-07-31,7.0,0.1001122155150245
2010-07-31,10.0,0.1017074102414104
2010-07-31,15.0,0.1028619165796719
2010-07-31,20.0,0.1043149568553676
2010-08-31,0.25,0.0956173869173308
2010-08-31,0.5,0.0963401867291177
2010-08-31,1.0,0.0960064832564431
2010-08-31,2.0,0.098491137861003
2010-08-31,5.0,0.1018359041074846
2010-08-31,7.0,0.1010445625863591
2010-08-31,10.0,0.1024616799648221
2010-08-31,15.0,0.1055903179450834
2010-08-31,20.0,0.1051335629635055
2010-09-30,0.25,0.0945359267212228
2010-09-30,0.5,0.0935678483708643
2010-09-30,1.0,0.0959198317292688
2010-09-30,2.0,0.0962133519715278
2010-09-30,5.0,0.0993284950835175
2010-09-30,7.0,0.1017510445991928
2010-09-30,10.0,0.1016337458367025
2010-09-30,15.0,0.1025665805111606
2010-09-30,20.0,0.1037388860792015
2010-10-31,0.25,0.0957224607977357
2010-10-31,0.5,0.0945418691568163
2010-10-31,1.0,0.0970015012883005
2010-10-31,2.0,0.0971854934548685
2010-10-31,5.0,0.101126102059844
2010-10-31,7.0,0.0995210065774716
2010-10-31,10.0,0.1021100325248769
2010-10-31,15.0,0.1027091227341441
2010-10-31,20.0,0.1041534250133239
2010-11-30,0.25,0.0892872393136221
2010-11-30,0.5,0.0894950374439822
2010-11-30,1.0,0.0903430667680802
2010-11-30,2.0,0.0918927809739929
2010-11-30,5.0,0.095423212460574
2010-11-30,7.0,0.095910860832196
2010-11-30,10.0,0.0987719903614995
2010-11-30,15.0,0.1001744334238661
2010-11-30,20.0,0.100742472763813
2010-12-31,0.25,0.0981511840535651
2010-12-31,0.5,0.0983567377994693
2010-12-31,1.0,0.1004078407875278
2010-12-31,2.0,0.0997738416939224
2010-12-31,5.0,0.102075405911907
2010-12-31,7.0,0.1029067315859234
2010-12-31,10.0,0.1039540136121022
2010-12-31,15.0,0.1050824347008437
2010-12-31,20.0,0.1061171195137172
2011-01-31,0.25,0.1068440917408609
2011-01-31,0.5,0.1073431951695122
2011-01-31,1.0,0.1073422838856022
2011-01-31,2.0,0.1070307307965032
2011-01-31,5.0,0.109499704291972
2011-01-31,7.0,0.1100871377899301
2011-01-31,10.0,0.1102539109518623
2011-01-31,15.0,0.1109120426206952
2011-01-31,20.0,0.1125529426689855
2011-02-28,0.25,0.1077425863143127
2011-02-28,0.5,0.1066012578611775
2011-02-28,1.0,0.1079171933270245
2011-02-28,2.0,0.108500080168932
2011-02-28,5.0,0.1086645245488052
2011-02-28,7.0,0.1102372110247482
2011-02-28,10.0,0.1097953041130186
2011-02-28,15.0,0.1130730665009413
2011-02-28,20.0,0.1136800704124836
2011-03-31,0.25,0.1151226841869474
2011-03-31,0.5,0.1157318818379864
2011-03-31,1.0,0.1136318409198669
2011-03-31,2.0,0.1147988116166982
2011-03-31,5.0,0.1162951930448148
2011-03-31,7.0,0.1162722914018221
2011-03-31,10.0,0.1184929699726031
2011-03-31,15.0,0.120511630323672
2011-03-31,20.0,0.1186350196178037
2011-04-30,0.25,0.1166291125577606
2011-04-30,0.5,0.1176283810678895
2011-04-30,1.0,0.1188922464244275
2011-04-30,2.0,0.1168637771495323
2011-04-30,5.0,0.1189850951226955
2011-04-30,7.0,0.1208912500029018
2011-04-30,10.0,0.1189437570362763
2011-04-30,15.0,0.1202578793510797
2011-04-30,20.0,0.121613596255771
2011-05-31,0.25,0.1105671420650096
2011-05-31,0.5,0.1118075562595602
2011-05-31,1.0,0.111574117502212
2011-05-31,2.0,0.1102987933973856
2011-05-31,5.0,0.1132604010155841
